M,Opponent,Date,Result,Event
210,Costa Rica,"November 24, 1991",1–1,Friendly
211,CIS,"January 25, 1992",0–1,Friendly
212,CIS,"February 2, 1992",2–1,Friendly
213,Costa Rica,"February 12, 1992",0–0,Friendly
214,El Salvador,"February 19, 1992",0–2,Friendly
215,Brazil,"February 26, 1992",0–3,Friendly
216,Spain,"March 11, 1992",0–2,Friendly
217,Morocco,"March 18, 1992",1–3,Friendly
218,China,"April 4, 1992",5–0,Friendly
219,Republic of Ireland,"April 29, 1992",1–4,Friendly
220,Scotland,"May 17, 1992",0–1,Friendly
221,Republic of Ireland,"May 30, 1992",3–1,U.S. Cup
222,Portugal,"June 3, 1992",1–0,U.S. Cup
223,Italy,"June 6, 1992",1–1,U.S. Cup
224,Australia,"June 13, 1992",0–1,Friendly
225,Ukraine,"June 27, 1992",0–0,Friendly
226,Colombia,"July 31, 1992",0–1,Friendship Cup
227,Brazil,"August 2, 1992",0–1,Friendship Cup
228,Canada,"September 3, 1992",2–0,Friendly
229,Canada,"October 9, 1992",0–0,Friendly
230,Saudi Arabia,"October 15, 1992",0–3,Confederations Cup SF
231,Ivory Coast,"October 19, 1992",5–2,Confederations Cup 3PG
232,Denmark,"January 30, 1993",2–2,Friendly
233,Romania,"February 6, 1993",1–1,Friendly
234,Russia,"February 13, 1993",0–1,Friendly
235,Russia,"February 21, 1993",0–0,Friendly
236,Canada,"March 3, 1993",2–2,Friendly
237,Hungary,"March 10, 1993",0–0,Kirin Cup
238,Japan,"March 14, 1993",1–3,Kirin Cup
239,El Salvador,"March 23, 1993",2–2,Friendly
240,Honduras,"March 25, 1993",1–4,Friendly
241,Saudi Arabia,"April 9, 1993",2–0,Friendly
242,Iceland,"April 17, 1993",1–1,Friendly
243,Colombia,"May 8, 1993",1–2,Friendly
244,Bolivia,"May 23, 1993",0–0,Friendly
245,Peru,"May 26, 1993",0–0,Friendly
246,Brazil,"June 6, 1993",0–2,U.S. Cup
247,England,"June 9, 1993",2–0,U.S. Cup
248,Germany,"June 13, 1993",3–4,U.S. Cup
249,Uruguay,"June 16, 1993",0–1,Copa América GS
250,Ecuador,"June 19, 1993",0–2,Copa América GS
251,Venezuela,"June 22, 1993",3–3,Copa América GS
252,Jamaica,"July 10, 1993",1–0,Gold Cup GS
253,Panama,"July 14, 1993",2–1,Gold Cup GS
254,Honduras,"July 17, 1993",1–0,Gold Cup GS
255,Costa Rica,"July 21, 1993",1–0,Gold Cup SF
256,Mexico,"July 25, 1993",0–4,Gold Cup F
257,Iceland,"August 31, 1993",1–0,Friendly
258,Norway,"September 8, 1993",0–1,Friendly
259,Mexico,"October 13, 1993",1–1,Friendly
260,Ukraine,"October 16, 1993",1–2,Friendly
261,Ukraine,"October 23, 1993",0–1,Friendly
262,Jamaica,"November 7, 1993",1–0,Friendly
263,Cayman Islands,"November 14, 1993",8–1,Friendly
264,El Salvador,"December 5, 1993",7–0,Friendly
265,Germany,"December 18, 1993",0–3,Friendly
266,Norway,"January 15, 1994",2–1,Friendly
267,Switzerland,"January 22, 1994",1–1,Friendly
268,Russia,"January 29, 1994",1–1,Friendly
269,Denmark,"February 10, 1994",0(2)–0(4),Carlsberg Cup SF
270,Romania,"February 13, 1994",1–2,Carlsberg Cup 3PG
271,Bolivia,"February 18, 1994",1–1,Joe Robbie Cup
272,Sweden,"February 20, 1994",1–3,Joe Robbie Cup
273,South Korea,"March 12, 1994",1–1,Friendly
274,Bolivia,"March 26, 1994",2–2,Friendly
275,Moldova,"April 16, 1994",1–1,Friendly
276,Moldova,"April 20, 1994",3–0,Friendly
277,Iceland,"April 24, 1994",1–2,Friendly
278,Chile,"April 30, 1994",0–2,Friendly
279,Estonia,"May 7, 1994",4–0,Friendly
280,Armenia,"May 15, 1994",1–0,Friendly
281,Saudi Arabia,"May 25, 1994",0–0,Friendly
282,Greece,"May 28, 1994",1–1,Friendly
283,Mexico,"June 4, 1994",1–0,Friendly
284,Switzerland,"June 18, 1994",1–1,World Cup GS
285,Colombia,"June 22, 1994",2–1,World Cup GS
286,Romania,"June 26, 1994",0–1,World Cup GS
287,Brazil,"July 4, 1994",0–1,World Cup R16
288,England,"September 7, 1994",0–2,Friendly
289,Saudi Arabia,"October 19, 1994",1–2,Friendly
290,Trinidad and Tobago,"November 19, 1994",0–1,Friendly
291,Jamaica,"November 22, 1994",3–0,Friendly
292,Honduras,"December 11, 1994",1–1,Friendly
293,Uruguay,"March 25, 1995",2–2,Friendly
294,Belgium,"April 22, 1995",0–1,Friendly
295,Costa Rica,"May 28, 1995",1–2,Friendly
296,Nigeria,"June 11, 1995",3–2,U.S. Cup
297,Mexico,"June 18, 1995",4–0,U.S. Cup
298,Colombia,"June 25, 1995",0–0,U.S. Cup
299,Chile,"July 8, 1995",2–1,Copa América GS
300,Bolivia,"July 11, 1995",0–1,Copa América GS
301,Argentina,"July 14, 1995",3–0,Copa América GS
302,Mexico,"July 17, 1995",0(4)–0(1),Copa América QF
303,Brazil,"July 20, 1995",0–1,Copa América SF
304,Colombia,"July 22, 1995",1–4,Copa América 3PG
305,Sweden,"August 16, 1995",0–1,Friendly
306,Saudi Arabia,"October 8, 1995",4–3,Friendly
307,Trinidad and Tobago,"January 13, 1996",3–2,Gold Cup GS
308,El Salvador,"January 16, 1996",2–0,Gold Cup GS
309,Brazil,"January 18, 1996",0–1,Gold Cup SF
310,Guatemala,"January 21, 1996",3–0,Gold Cup 3PG
311,Scotland,"May 26, 1996",2–1,Friendly
312,Republic of Ireland,"June 9, 1996",2–1,U.S. Cup
313,Bolivia,"June 12, 1996",0–2,U.S. Cup
314,Mexico,"June 16, 1996",2–2,U.S. Cup
315,El Salvador,"August 30, 1996",3–1,Friendly
316,Peru,"October 16, 1996",1–4,Friendly
317,Guatemala,"November 3, 1996",2–0,World Cup Q
318,Trinidad and Tobago,"November 10, 1996",2–0,World Cup Q
319,Trinidad and Tobago,"November 24, 1996",1–0,World Cup Q
320,Costa Rica,"December 1, 1996",1–2,World Cup Q
321,Costa Rica,"December 14, 1996",2–1,World Cup Q
322,Guatemala,"December 21, 1996",2–2,World Cup Q
323,Peru,"January 17, 1997",0–1,U.S. Cup
324,Mexico,"January 19, 1997",0–2,U.S. Cup
325,Denmark,"January 22, 1997",1–4,U.S. Cup
326,China,"January 29, 1997",1–2,Friendly
327,China,"February 1, 1997",1–1,Friendly
328,Jamaica,"March 2, 1997",0–0,World Cup Q
329,Canada,"March 16, 1997",3–0,World Cup Q
330,Costa Rica,"March 23, 1997",2–3,World Cup Q
331,Mexico,"April 20, 1997",2–2,World Cup Q
332,Paraguay,"June 4, 1997",0–0,Friendly
333,Israel,"June 17, 1997",2–1,Friendly
334,El Salvador,"June 29, 1997",1–1,World Cup Q
335,Ecuador,"August 7, 1997",0–1,Friendly
336,Costa Rica,"September 7, 1997",1–0,World Cup Q
337,Jamaica,"October 3, 1997",1–1,World Cup Q
338,Mexico,"November 2, 1997",0–0,World Cup Q
339,Canada,"November 9, 1997",3–0,World Cup Q
340,El Salvador,"November 16, 1997",4–2,World Cup Q
341,Sweden,"January 24, 1998",1–0,Friendly
342,Cuba,"February 1, 1998",3–0,Gold Cup GS
343,Costa Rica,"February 7, 1998",2–1,Gold Cup GS
344,Brazil,"February 10, 1998",1–0,Gold Cup SF
345,Mexico,"February 15, 1998",0–1,Gold Cup F
346,Netherlands,"February 21, 1998",0–2,Friendly
347,Belgium,"February 25, 1998",0–2,Friendly
348,Paraguay,"March 14, 1998",2–2,Friendly
349,Austria,"April 22, 1998",3–0,Friendly
350,North Macedonia,"May 16, 1998",0–0,Friendly
351,Kuwait,"May 24, 1998",2–0,Friendly
352,Scotland,"May 30, 1998",0–0,Friendly
353,Germany,"June 15, 1998",0–2,World Cup GS
354,Iran,"June 21, 1998",1–2,World Cup GS
355,FR Yugoslavia,"June 25, 1998",0–1,World Cup GS
356,Australia,"November 6, 1998",0–0,Friendly
357,Bolivia,"January 24, 1999",0–0,Friendly
358,Germany,"February 6, 1999",3–0,Friendly
359,Chile,"February 21, 1999",2–1,Friendly
360,Guatemala,"March 11, 1999",3–1,U.S. Cup
361,Mexico,"March 13, 1999",1–2,U.S. Cup
362,Argentina,"June 13, 1999",1–0,Friendly
363,New Zealand,"July 24, 1999",2–1,Confederations Cup GS
364,Brazil,"July 28, 1999",0–1,Confederations Cup GS
365,Germany,"July 30, 1999",2–0,Confederations Cup GS
366,Mexico,"August 1, 1999",0–1,Confederations Cup SF
367,Saudi Arabia,"August 1, 1999",2–0,Confederations Cup 3PG
368,Jamaica,"September 8, 1999",2–2,Friendly
369,Morocco,"November 17, 1999",1–2,Friendly
370,Iran,"January 16, 2000",1–1,Friendly
371,Chile,"January 29, 2000",2–1,Friendly
372,Haiti,"February 12, 2000",3–0,Gold Cup GS
