M,Opponent,Date,Result,Event
599,Costa Rica,"July 16, 2013",1–0,Gold Cup GS
600,El Salvador,"July 21, 2013",5–1,Gold Cup QF
601,Honduras,"July 24, 2013",3–1,Gold Cup SF
602,Panama,"July 28, 2013",1–0,Gold Cup F
603,Bosnia and Herzegovina,"August 14, 2013",4–3,Friendly
604,Costa Rica,"September 6, 2013",1–3,World Cup Q
605,Mexico,"September 10, 2013",2–0,World Cup Q
606,Jamaica,"October 11, 2013",2–0,World Cup Q
607,Panama,"October 15, 2013",3–2,World Cup Q
608,Scotland,"November 15, 2013",0–0,Friendly
609,Austria,"November 19, 2013",0–1,Friendly
610,South Korea,"February 1, 2014",2–0,Friendly
611,Ukraine,"March 5, 2014",0–2,Friendly
612,Mexico,"April 2, 2014",2–2,Friendly
613,Azerbaijan,"May 27, 2014",2–0,Friendly
614,Turkey,"June 1, 2014",2–1,Friendly
615,Nigeria,"June 7, 2014",2–1,Friendly
616,Ghana,"June 16, 2014",2–1,World Cup GS
617,Portugal,"June 22, 2014",2–2,World Cup GS
618,Germany,"June 26, 2014",0–1,World Cup GS
619,Belgium,"July 1, 2014",1–2,World Cup R16
620,Czech Republic,"September 3, 2014",1–0,Friendly
621,Ecuador,"October 10, 2014",1–1,Friendly
622,Honduras,"October 14, 2014",1–1,Friendly
623,Colombia,"November 14, 2014",1–2,Friendly
624,Republic of Ireland,"November 18, 2014",1–4,Friendly
625,Chile,"January 28, 2015",2–3,Friendly
626,Panama,"February 8, 2015",2–0,Friendly
627,Denmark,"March 25, 2015",2–3,Friendly
628,Switzerland,"March 31, 2015",1–1,Friendly
629,Mexico,"April 15, 2015",2–0,Friendly
630,Netherlands,"June 5, 2015",4–3,Friendly
631,Germany,"June 10, 2015",2–1,Friendly
632,Guatemala,"July 3, 2015",4–0,Friendly
633,Honduras,"July 7, 2015",2–1,Gold Cup GS
634,Haiti,"July 10, 2015",1–0,Gold Cup GS
635,Panama,"July 13, 2015",1–1,Gold Cup GS
636,Cuba,"July 18, 2015",6–0,Gold Cup QF
637,Jamaica,"July 22, 2015",1–2,Gold Cup SF
638,Panama,"July 25, 2015",1(2)–1(3),Gold Cup 3PG
639,Peru,"September 4, 2015",2–1,Friendly
640,Brazil,"September 8, 2015",1–4,Friendly
641,Mexico,"October 10, 2015",2–3,CONCACAF Cup
642,Costa Rica,"October 13, 2015",0–1,Friendly
643,Saint Vincent and the Grenadines,"November 13, 2015",6–1,World Cup Q
644,Trinidad and Tobago,"November 17, 2015",0–0,World Cup Q
645,Iceland,"January 31, 2016",3–2,Friendly
646,Canada,"February 5, 2016",1–0,Friendly
647,Guatemala,"March 25, 2016",0–2,World Cup Q
648,Guatemala,"March 29, 2016",4–0,World Cup Q
649,Puerto Rico,"May 22, 2016",3–1,Friendly
650,Ecuador,"May 25, 2016",1–0,Friendly
651,Bolivia,"May 28, 2016",4–0,Friendly
652,Colombia,"June 3, 2016",0–2,Copa América Centenario GS
653,Costa Rica,"June 7, 2016",4–0,Copa América Centenario GS
654,Paraguay,"June 11, 2016",1–0,Copa América Centenario GS
655,Ecuador,"June 16, 2016",2–1,Copa América Centenario QF
656,Argentina,"June 21, 2016",0–4,Copa América Centenario SF
657,Colombia,"June 25, 2016",0–1,Copa América Centenario 3PG
658,Saint Vincent and the Grenadines,"September 2, 2016",6–0,World Cup Q
659,Trinidad and Tobago,"September 6, 2016",4–0,World Cup Q
660,Cuba,"October 7, 2016",2–0,Friendly
661,New Zealand,"October 11, 2016",1–1,Friendly
662,Mexico,"November 11, 2016",1–2,World Cup Q
663,Costa Rica,"November 15, 2016",0–4,World Cup Q
664,Serbia,"January 29, 2017",0–0,Friendly
665,Jamaica,"February 3, 2017",1–0,Friendly
666,Honduras,"March 24, 2017",6–0,World Cup Q
667,Panama,"March 28, 2017",1–1,World Cup Q
668,Venezuela,"June 3, 2017",1–1,Friendly
669,Trinidad and Tobago,"June 8, 2017",2–0,World Cup Q
670,Mexico,"June 11, 2017",1–1,World Cup Q
671,Ghana,"July 1, 2017",2–1,Friendly
672,Panama,"July 8, 2017",1–1,Gold Cup GS
673,Martinique,"July 12, 2017",3–2,Gold Cup GS
674,Nicaragua,"July 15, 2017",3–0,Gold Cup GS
675,El Salvador,"July 19, 2017",2–0,Gold Cup QF
676,Costa Rica,"July 22, 2017",2–0,Gold Cup SF
677,Jamaica,"July 26, 2017",2–1,Gold Cup F
678,Costa Rica,"September 1, 2017",0–2,World Cup Q
679,Honduras,"September 5, 2017",1–1,World Cup Q
680,Panama,"October 6, 2017",4–0,World Cup Q
681,Trinidad and Tobago,"October 10, 2017",1–2,World Cup Q
682,Portugal,"November 14, 2017",1–1,Friendly
683,Bosnia and Herzegovina,"January 28, 2018",0–0,Friendly
684,Paraguay,"March 27, 2018",1–0,Friendly
685,Bolivia,"May 28, 2018",3–0,Friendly
686,Republic of Ireland,"June 2, 2018",1–2,Friendly
687,France,"June 9, 2018",1–1,Friendly
688,Brazil,"September 7, 2018",0–2,Friendly
689,Mexico,"September 11, 2018",1–0,Friendly
690,Colombia,"October 11, 2018",2–4,Friendly
691,Peru,"October 15, 2018",1–1,Friendly
692,England,"November 15, 2018",0–3,Friendly
693,Italy,"November 20, 2018",0–1,Friendly
694,Panama,"January 27, 2019",3–0,Friendly
695,Costa Rica,"February 2, 2019",2–0,Friendly
696,Ecuador,"March 21, 2019",1–0,Friendly
697,Chile,"March 26, 2019",1–1,Friendly
698,Jamaica,"June 5, 2019",0–1,Friendly
699,Venezuela,"June 9, 2019",0–3,Friendly
700,Guyana,"June 18, 2019",4–0,Gold Cup GS
701,Trinidad and Tobago,"June 22, 2019",6–0,Gold Cup GS
702,Panama,"June 26, 2019",1–0,Gold Cup GS
703,Curaçao,"June 30, 2019",1–0,Gold Cup QF
704,Jamaica,"July 3, 2019",3–1,Gold Cup SF
705,Mexico,"July 7, 2019",0–1,Gold Cup F
706,Mexico,"September 6, 2019",0–3,Friendly
707,Uruguay,"September 10, 2019",1–1,Friendly
708,Cuba,"October 11, 2019",7–0,Nations League GS
709,Canada,"October 15, 2019",0–2,Nations League GS
710,Canada,"November 15, 2019",4–1,Nations League GS
711,Cuba,"November 19, 2019",4–0,Nations League GS
712,Costa Rica,"February 1, 2020",1–0,Friendly
713,Wales,"November 12, 2020",0–0,Friendly
714,Panama,"November 16, 2020",6–2,Friendly
715,El Salvador,"December 9, 2020",6–0,Friendly
716,Trinidad and Tobago,"January 31, 2021",7–0,Friendly
717,Jamaica,"March 25, 2021",4–1,Friendly
718,Northern Ireland,"March 28, 2021",2–1,Friendly
719,Switzerland,"May 30, 2021",1–2,Friendly
720,Honduras,"June 3, 2021",1–0,Nations League SF
721,Mexico,"June 6, 2021",3–2,Nations League F
722,Costa Rica,"June 9, 2021",4–0,Friendly
723,Haiti,"July 11, 2021",1–0,Gold Cup GS
724,Martinique,"July 15, 2021",6–1,Gold Cup GS
725,Canada,"July 18, 2021",1–0,Gold Cup GS
726,Jamaica,"July 25, 2021",1–0,Gold Cup QF
727,Qatar,"July 29, 2021",1–0,Gold Cup SF
728,Mexico,"August 1, 2021",1–0,Gold Cup F
729,El Salvador,"September 2, 2021",0–0,World Cup Q
730,Canada,"September 5, 2021",1–1,World Cup Q
731,Honduras,"September 8, 2021",4–1,World Cup Q
732,Jamaica,"October 7, 2021",2–0,World Cup Q
733,Panama,"October 10, 2021",0–1,World Cup Q
734,Costa Rica,"October 13, 2021",2–1,World Cup Q
735,Mexico,"November 12, 2021",2–0,World Cup Q
736,Jamaica,"November 16, 2021",1–1,World Cup Q
737,Bosnia and Herzegovina,"December 18, 2021",1–0,Friendly
738,El Salvador,"January 27, 2022",1–0,World Cup Q
739,Canada,"January 30, 2022",0–2,World Cup Q
740,Honduras,"February 2, 2022",3–0,World Cup Q
741,Mexico,"March 24, 2022",0–0,World Cup Q
742,Panama,"March 27, 2022",5–1,World Cup Q
743,Costa Rica,"March 30, 2022",0–2,World Cup Q
744,Morocco,"June 1, 2022",3–0,Friendly
745,Uruguay,"June 5, 2022",0–0,Friendly
746,Grenada,"June 10, 2022",5–0,Nations League GS
747,El Salvador,"June 14, 2022",1–1,Nations League GS
748,Japan,"September 23, 2022",0–2,Friendly
749,Saudi Arabia,"September 27, 2022",0–0,Friendly
750,Wales,"November 21, 2022",1–1,World Cup GS
751,England,"November 25, 2022",0–0,World Cup GS
752,Iran,"November 29, 2022",1–0,World Cup GS
753,Netherlands,"December 3, 2022",1–3,World Cup R16
754,Serbia,"January 25, 2023",1–2,Friendly
755,Colombia,"January 28, 2023",0–0,Friendly
756,Grenada,"March 24, 2023",7–1,Nations League GS
757,El Salvador,"March 27, 2023",1–0,Nations League GS
758,Mexico,"April 19, 2023",1–1,Friendly
759,Mexico,"June 15, 2023",3–0,Nations League SF
760,Canada,"June 18, 2023",2–0,Nations League F
761,Jamaica,"June 24, 2023",1–1,Gold Cup GS
762,Saint Kitts and Nevis,"June 28, 2023",6–0,Gold Cup GS
763,Trinidad and Tobago,"July 2, 2023",6–0,Gold Cup GS
764,Canada,"July 9, 2023",2(3)–2(2),Gold Cup QF
765,Panama,"July 12, 2023",1(4)–1(5),Gold Cup SF
766,Uzbekistan,"September 9, 2023",3–0,Friendly
767,Oman,"September 12, 2023",4–0,Friendly
768,Germany,"October 14, 2023",1–3,Friendly
769,Ghana,"October 17, 2023",4–0,Friendly
770,Trinidad and Tobago,"November 16, 2023",3–0,Nations League QF
771,Trinidad and Tobago,"November 20, 2023",1–2,Nations League QF
772,Slovenia,"January 20, 2024",0–1,Friendly
773,Jamaica,"March 21, 2024",3–1,Nations League SF
774,Mexico,"March 24, 2024",2–0,Nations League F
775,Colombia,"June 8, 2024",1–5,Friendly
776,Brazil,"June 12, 2024",1–1,Friendly
777,Bolivia,"June 23, 2024",2–0,Copa América GS
778,Panama,"June 27, 2024",1–2,Copa América GS
779,Uruguay,"July 1, 2024",0–1,Copa América GS
780,Canada,"September 7, 2024",1–2,Friendly
781,New Zealand,"September 10, 2024",1–1,Friendly
782,Panama,"October 12, 2024",2–0,Friendly
783,Mexico,"October 15, 2024",0–2,Friendly
784,Jamaica,"November 14, 2024",1–0,Nations League QF
785,Jamaica,"November 18, 2024",4–2,Nations League QF
786,Venezuela,"January 18, 2025",3–1,Friendly
787,Costa Rica,"January 22, 2025",3–0,Friendly
788,Panama,"March 20, 2025",0–1,Nations League SF
789,Canada,"March 23, 2025",1–2,Nations League 3PG
