M,Opponent,Date,Result,team_score,opponent_score,Event
744,Costa Rica,"July 16, 2024",0–0,0,0,Friendly
745,Zambia,"July 25, 2024",3–0,3,0,Olympics
746,Germany,"July 28, 2024",4–1,4,1,Olympics
747,Australia,"July 31, 2024",2–1,2,1,Olympics
748,Japan,"August 3, 2024",1–0,1,0,Olympics QF
749,Germany,"August 6, 2024",1–0,1,0,Olympics SF
750,Brazil,"August 10, 2024",1–0,1,0,Olympics F
751,Iceland,"October 24, 2024",3–1,3,1,Friendly
752,Iceland,"October 27, 2024",3–1,3,1,Friendly
753,Argentina,"October 30, 2024",3–0,3,0,Friendly
754,England,"November 30, 2024",0–0,0,0,Friendly
755,Netherlands,"December 3, 2024",2–1,2,1,Friendly
756,Colombia,"February 20, 2025",2–0,2,0,SheBelieves Cup
757,Australia,"February 23, 2025",2–1,2,1,SheBelieves Cup
758,Japan,"February 26, 2025",1–2,1,2,SheBelieves Cup
759,Brazil,"April 5, 2025",2–0,2,0,Friendly
760,Brazil,"April 8, 2025",1–2,1,2,Friendly
