M,Opponent,Date,Result,team_score,opponent_score,Event
397,Mexico,"October 17, 2007",4–0,4,0,Friendly
398,Mexico,"October 20, 2007",1–1,1,1,Friendly
399,Canada,"January 16, 2008",4–0,4,0,Four Nations Tournament
400,Finland,"January 18, 2008",4–1,4,1,Four Nations Tournament
401,China,"January 20, 2008",1–0,1,0,Four Nations Tournament
402,China,"March 5, 2008",4–0,4,0,Algarve Cup
403,Italy,"March 7, 2008",2–0,2,0,Algarve Cup
404,Norway,"March 10, 2008",4–0,4,0,Algarve Cup
405,Denmark,"March 12, 2008",2–1,2,1,Algarve Cup
406,Jamaica,"April 4, 2008",6–0,6,0,Olympic Qualifying
407,Mexico,"April 6, 2008",3–1,3,1,Olympic Qualifying
408,Costa Rica,"April 9, 2008",3–0,3,0,Olympic Qualifying
409,Canada,"April 12, 2008",1(6)–1(5),6,5,Olympic Qualifying
410,Australia,"April 27, 2008",3–2,3,2,Friendly
411,Australia,"May 3, 2008",5–4,5,4,Friendly
412,Canada,"May 10, 2008",6–0,6,0,Friendly
413,Australia,"June 15, 2008",2–1,2,1,Peace Queen Cup
414,Brazil,"June 17, 2008",1–0,1,0,Peace Queen Cup
415,Italy,"June 19, 2008",2–0,2,0,Peace Queen Cup
416,Canada,"June 21, 2008",1–0,1,0,Peace Queen Cup Final
417,Norway,"July 2, 2008",4–0,4,0,Friendly
418,Sweden,"July 5, 2008",1–0,1,0,Friendly
419,Brazil,"July 13, 2008",1–0,1,0,Friendly
420,Brazil,"July 16, 2008",1–0,1,0,Friendly
421,Norway,"August 6, 2008",0–2,0,2,Olympics
422,Japan,"August 9, 2008",1–0,1,0,Olympics
423,New Zealand,"August 12, 2008",4–0,4,0,Olympics
424,Canada,"August 15, 2008",2–1,2,1,Olympics QF
425,Japan,"August 18, 2008",4–2,4,2,Olympics SF
426,Brazil,"August 21, 2008",1–0,1,0,Olympics F
427,Republic of Ireland,"September 13, 2008",2–0,2,0,Friendly
428,Republic of Ireland,"September 17, 2008",1–0,1,0,Friendly
429,Republic of Ireland,"September 20, 2008",2–0,2,0,Friendly
430,South Korea,"November 1, 2008",0–0,0,0,Friendly
431,South Korea,"November 5, 2008",1–0,1,0,Friendly
432,South Korea,"November 8, 2008",1–0,1,0,Friendly
433,China,"December 13, 2008",1–0,1,0,Friendly
434,China,"December 17, 2008",1–0,1,0,Friendly
435,Denmark,"March 4, 2009",2–0,2,0,Algarve Cup
436,Iceland,"March 6, 2009",1–0,1,0,Algarve Cup
437,Norway,"March 9, 2009",1–0,1,0,Algarve Cup
438,Sweden,"March 11, 2009",1(3)–1(4),3,4,Algarve Cup
439,Canada,"May 25, 2009",4–0,4,0,Friendly
440,Canada,"July 19, 2009",1–0,1,0,Friendly
441,Canada,"July 22, 2009",1–0,1,0,Friendly
442,Germany,"October 29, 2009",1–0,1,0,Friendly
443,Iceland,"February 24, 2010",2–0,2,0,Algarve Cup
444,Norway,"February 26, 2010",2–1,2,1,Algarve Cup
445,Sweden,"March 1, 2010",2–0,2,0,Algarve Cup
446,Germany,"March 3, 2010",3–2,3,2,Algarve Cup Final
447,Mexico,"March 28, 2010",3–0,3,0,Friendly
448,Mexico,"March 31, 2010",1–0,1,0,Friendly
449,Germany,"May 22, 2010",4–0,4,0,Friendly
450,Sweden,"June 13, 2010",1–1,1,1,Friendly
451,Sweden,"June 17, 2010",3–0,3,0,Friendly
452,China,"October 2, 2010",2–1,2,1,Friendly
453,China,"October 6, 2010",1–1,1,1,Friendly
454,Haiti,"October 28, 2010",5–0,5,0,World Cup Qualifying
455,Guatemala,"October 30, 2010",9–0,9,0,World Cup Qualifying
456,Costa Rica,"November 1, 2010",4–0,4,0,World Cup Qualifying
457,Mexico,"November 5, 2010",1–2,1,2,World Cup Qualifying SF
458,Costa Rica,"November 8, 2010",0–3,0,3,World Cup Qualifying 3rd
459,Italy,"November 20, 2010",1–0,1,0,World Cup Qualifying Playoff
460,Italy,"November 27, 2010",1–0,1,0,World Cup Qualifying Playoff
461,Sweden,"January 21, 2011",1–2,1,2,Four Nations Tournament
462,Canada,"January 23, 2011",2–1,2,1,Four Nations Tournament
463,China,"January 25, 2011",2–0,2,0,Four Nations Tournament
464,Japan,"March 2, 2011",2–1,2,1,Algarve Cup
465,Norway,"March 4, 2011",2–0,2,0,Algarve Cup
466,Finland,"March 7, 2011",4–0,4,0,Algarve Cup
467,Iceland,"March 9, 2011",4–2,4,2,Algarve Cup Final
468,England,"April 2, 2011",1–2,1,2,Friendly
469,Japan,"May 14, 2011",2–0,2,0,Friendly
470,Japan,"May 18, 2011",2–0,2,0,Friendly
471,Mexico,"June 5, 2011",1–0,1,0,Friendly
472,North Korea,"June 28, 2011",2–0,2,0,World Cup
473,Colombia,"July 2, 2011",3–0,3,0,World Cup
474,Sweden,"July 6, 2011",1–2,1,2,World Cup
475,Brazil,"July 10, 2011",2(5)–2(3),5,3,World Cup QF
476,France,"July 13, 2011",3–1,3,1,World Cup SF
477,Japan,"July 17, 2011",2(1)–2(3),1,3,World Cup F
478,Canada,"September 17, 2011",1–1,1,1,Friendly
479,Canada,"September 22, 2011",3–0,3,0,Friendly
480,Sweden,"November 19, 2011",1–1,1,1,Friendly
481,Dominican Republic,"January 20, 2012",14–0,14,0,Olympic Qualifying
482,Guatemala,"January 22, 2012",13–0,13,0,Olympic Qualifying
483,Mexico,"January 24, 2012",4–0,4,0,Olympic Qualifying
484,Costa Rica,"January 27, 2012",3–0,3,0,Olympic Qualifying SF
